street_address,city,state,market_status,current_price
14 DOWNS RD,Monroe,CT,FALSE,545100
64 CROSS HL RD,Monroe,CT,FALSE,695700
324 MOOSE HL RD,Monroe,CT,FALSE,805100
14 BLUEBERRY LN,Monroe,CT,FALSE,605200
50 EASTON RD,Monroe,CT,FALSE,519800
129 COTTAGE ST,Monroe,CT,FALSE,481700
23 TODD DR,Monroe,CT,FALSE,571000
29 LOVERS LN,Monroe,CT,FALSE,574200
65 TWIN BRK TER,Monroe,CT,FALSE,586500
140 LAZY BRK RD,Monroe,CT,FALSE,784800
241 TURKEY ROOST RD,Monroe,CT,FALSE,1040400
15 HAWTHORNE DR,Monroe,CT,FALSE,718300
441 MOOSE HILL RD,Monroe,CT,FALSE,605400
12 GAYLOR DR,Monroe,CT,FALSE,847200
119 ELM ST,Monroe,CT,FALSE,459700
30 HIGHFIELD DR,Monroe,CT,FALSE,765800
250 BARN HL RD,Monroe,CT,FALSE,641600
21 BARTON RD,Monroe,CT,FALSE,681300
9 PERCHERON DR,Monroe,CT,FALSE,1315500
97 GAY BOWER RD,Monroe,CT,FALSE,496700
108 KNORR RD,Monroe,CT,FALSE,754700
7 HOLLY PL,Monroe,CT,FALSE,785500
11 STONY BRK DR,Monroe,CT,FALSE,638700
16 GREENWOOD DR,Monroe,CT,FALSE,652800
22 MEADOWVIEW TER,Monroe,CT,FALSE,511200
31 BRIDLE PATH TRL,Monroe,CT,FALSE,1026500
165 FLINT RDG RD,Monroe,CT,FALSE,909200
16 HEARTHSTONE RD,Monroe,CT,FALSE,755700
93 HIGH RDG DR,Monroe,CT,FALSE,690300
44 STABLE RDG RD,Monroe,CT,FALSE,802700
55 BIRCHWOOD RD,Monroe,CT,FALSE,485300
55 OLD CASTLE DR,Monroe,CT,FALSE,601000
121 RICHARDS DR,Monroe,CT,FALSE,933700
9 SHEEP MDW DR,Monroe,CT,TRUE,778000
81 MARYANNE DR,Monroe,CT,FALSE,759100
178 PURDY HL RD,Monroe,CT,FALSE,662300
31 NORTHWOOD RD,Monroe,CT,FALSE,718100
352 HATTERTOWN RD,Monroe,CT,FALSE,807900
4 MILLO DR,Monroe,CT,FALSE,485600
43 KNAPP ST,Monroe,CT,FALSE,1380200
257 FAN HL RD,Monroe,CT,FALSE,522000
210 FAN HL RD,Monroe,CT,FALSE,567000
60 HILLCREST,Monroe,CT,FALSE,496500
24 NANCY DR,Monroe,CT,FALSE,763200
536 MOOSE HL RD,Monroe,CT,FALSE,508500
13 MAPLE CIR,Monroe,CT,FALSE,535800
102 FAR HORIZON DR,Monroe,CT,FALSE,593500
19 BARN HL RD,Monroe,CT,FALSE,794400
7 GREENWOOD LN,Monroe,CT,FALSE,537500
19 BEECH TREE LN,Monroe,CT,TRUE,1100000
39 HIGHFIELD DR,Monroe,CT,FALSE,801800
310 CUTLERS FARM RD,Monroe,CT,TRUE,705000
12 HUNTINGTOWN RD,Monroe,CT,FALSE,946000
66 BIRCHWOOD RD,Monroe,CT,FALSE,477400
134 MILL BRK TER,Monroe,CT,FALSE,880700
4 FAR HORIZON DR,Monroe,CT,FALSE,661100
36 GREENFIELD HL RD,Monroe,CT,FALSE,519100
293 PASTORS WALK,Monroe,CT,FALSE,583000
42 CHALK HILL RD,Monroe,CT,FALSE,563200
106 LYNN DR,Monroe,CT,FALSE,938800
22 HEATHER LN,Monroe,CT,FALSE,805200
19 MORGAN LN,Monroe,CT,FALSE,1147900
4 PHEASANT LN,Monroe,CT,FALSE,813400
52 PACHAUG TR,Monroe,CT,FALSE,339600
264 PORTERS HL RD,Monroe,CT,FALSE,557500
42 LANTHORNE RD,Monroe,CT,FALSE,1178700
16 HARVESTER RD,Monroe,CT,FALSE,713100
596 MOOSE HL RD,Monroe,CT,FALSE,545500
26 DORIS DR,Monroe,CT,FALSE,720600
65 DOWNS RD,Monroe,CT,FALSE,476800
107 WALNUT ST,Monroe,CT,FALSE,571800
3 BITTERSWEET CIR,Monroe,CT,FALSE,459000
8 STANLEY RD,Monroe,CT,FALSE,606600
15 SCHOLZ RD,Monroe,CT,FALSE,475300
30 GERARDO DR,Monroe,CT,FALSE,737500
73 LAZY BRK RD,Monroe,CT,FALSE,735900
55 RIDING RDG RD,Monroe,CT,TRUE,1000000
26 BLUEBERRY LN,Monroe,CT,FALSE,697700
309 TURKEY ROOST RD,Monroe,CT,FALSE,632100
22 CRESTWOOD RD,Monroe,CT,FALSE,582900
158 LAZY BRK RD,Monroe,CT,FALSE,883600
34 EASTON RD,Monroe,CT,TRUE,780000
35 OAK RIDGE RD,Monroe,CT,FALSE,662400
301 HATTERTOWN RD,Monroe,CT,FALSE,463800
184 BARN HL RD,Monroe,CT,FALSE,744000
8 CHIMNEY PL,Monroe,CT,FALSE,640300
2 BARTON RD,Monroe,CT,FALSE,686300
4 PEPPERIDGE RD,Monroe,CT,FALSE,422400
40 RIPTON RDG RD,Monroe,CT,TRUE,470000
352 SPRING HILL RD,Monroe,CT,FALSE,611300
113 HILLSIDE LN,Monroe,CT,FALSE,633700
17 ARROWHEAD DR,Monroe,CT,FALSE,859300
362 HATTERTOWN RD,Monroe,CT,FALSE,665700
